QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
3;1;3;80 a 110m2;Armação;450K a 650K
3;2;4;110 a 163m2;Pituba;650K a 1M
3;1;3;110 a 163m2;Graça;450K a 650K
4;3;4;110 a 163m2;Caminho das Árvores;650K a 1M
3;nan;4;110 a 163m2;Jardim Placaford;300K a 450K
2;1;2;60 a 80m2;Graça;300K a 450K
3;2;3;110 a 163m2;Graça;450K a 650K
2;1;2;13 a 60m2;Jardim Nova Esperança;0 a 300K
2;nan;1;60 a 80m2;Nazaré;0 a 300K
3;2;2;60 a 80m2;Saboeiro;450K a 650K
2;3;3;110 a 163m2;Ondina;1M a 88M
3;1;1;60 a 80m2;Stiep;0 a 300K
4;3;5ou+;163 a 4126m2;Itaigara;1M a 88M
2;nan;1;13 a 60m2;Canabrava;0 a 300K
2;1;2;80 a 110m2;Campo Grande;0 a 300K
2;1;2;60 a 80m2;Pituba;0 a 300K
3;2;1;110 a 163m2;Candeal;450K a 650K
2;1;2;80 a 110m2;Pituba;300K a 450K
4;4;5ou+;163 a 4126m2;Candeal;650K a 1M
2;1;2;60 a 80m2;Canela;450K a 650K
2;nan;1;;Mussurunga I;0 a 300K
2;nan;1;60 a 80m2;Saboeiro;0 a 300K
4;3;3;110 a 163m2;Pituba;1M a 88M
3;1;2;60 a 80m2;Pituaçu;450K a 650K
4;2;4;163 a 4126m2;Horto Florestal;650K a 1M
3;2;3;110 a 163m2;Stella Maris;450K a 650K
3;2;2;80 a 110m2;Caminho das Árvores;650K a 1M
2;nan;1;13 a 60m2;Arraial do Retiro;0 a 300K
4;nan;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;nan;1;60 a 80m2;Arraial do Retiro;0 a 300K
3;3;4;163 a 4126m2;Ondina;1M a 88M
3;1;3;60 a 80m2;Pituba;450K a 650K
3;2;3;80 a 110m2;Patamares;450K a 650K
2;1;1;13 a 60m2;São Rafael;0 a 300K
1;1;1;13 a 60m2;Pituba;0 a 300K
1;1;1;13 a 60m2;Alphaville I;450K a 650K
3;1;2;13 a 60m2;Narandiba;0 a 300K
3;2;4;80 a 110m2;Graça;650K a 1M
1;1;1;13 a 60m2;Graça;300K a 450K
3;nan;1;60 a 80m2;Uruguai;0 a 300K
4;1;3;110 a 163m2;Pituba;450K a 650K
4;4;2;110 a 163m2;Caminho das Árvores;1M a 88M
3;1;1;80 a 110m2;Garcia;450K a 650K
3;1;2;60 a 80m2;Pituba;300K a 450K
3;3;2;110 a 163m2;Horto Florestal;1M a 88M
4;4;2;163 a 4126m2;Pituaçu;1M a 88M
