;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
1527;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Barbalho;(1140000.0, 88000000.0]
1528;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Caminho das Árvores;(300000.0, 450000.0]
1529;4 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Horto Florestal;(1140000.0, 88000000.0]
1530;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
1531;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Piatã;(300000.0, 450000.0]
1532;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(300000.0, 450000.0]
1533;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Barra;(300000.0, 450000.0]
1534;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Amaralina;(300000.0, 450000.0]
1535;3 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
1536;3 quartos;3 vagas de garagem;3 banheiros;(163.0, 4126.0];Graça;(650000.0, 1140000.0]
1537;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
1538;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Santa Mônica;(-0.001, 300000.0]
1539;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Itapuã;(300000.0, 450000.0]
1540;3 quartos;2 vagas de garagem;2 banheiros;(163.0, 4126.0];Caminho das Árvores;(1140000.0, 88000000.0]
1541;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Candeal;(-0.001, 300000.0]
1542;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Piatã;(-0.001, 300000.0]
1543;3 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Rio Vermelho;(650000.0, 1140000.0]
1544;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Brotas;(300000.0, 450000.0]
1545;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Jardim Placaford;(300000.0, 450000.0]
1546;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Nova Brasília;(-0.001, 300000.0]
1547;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Horto Bela Vista;(450000.0, 650000.0]
1548;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Rio Vermelho;(450000.0, 650000.0]
1549;4 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
1550;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Federação;(-0.001, 300000.0]
1551;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
1552;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Candeal;(300000.0, 450000.0]
1553;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Piatã;(650000.0, 1140000.0]
1554;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Matatu;(300000.0, 450000.0]
1555;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Barra;(300000.0, 450000.0]
1556;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
1557;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Barra;(650000.0, 1140000.0]
1558;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
1559;3 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
1560;3 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
1561;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
1562;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(650000.0, 1140000.0]
1563;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituba;(300000.0, 450000.0]
1564;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Jardim das Margaridas;(-0.001, 300000.0]
1565;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Patamares;(450000.0, 650000.0]
1566;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Alphaville I;(650000.0, 1140000.0]
1567;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Horto Florestal;(450000.0, 650000.0]
1568;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Itapuã;(-0.001, 300000.0]
1569;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Piatã;(300000.0, 450000.0]
1570;2 quartos;;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
1571;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Saboeiro;(-0.001, 300000.0]
1572;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Caminho das Árvores;(650000.0, 1140000.0]
1573;3 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
1574;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
1575;1 quarto;;1 banheiro;(80.0, 110.0];Pituba;(-0.001, 300000.0]
1576;2 quartos;;1 banheiro;(12.999, 60.0];Cidade Nova;(-0.001, 300000.0]
1577;2 quartos;;1 banheiro;(80.0, 110.0];Pituba;(-0.001, 300000.0]
1578;2 quartos;;1 banheiro;(80.0, 110.0];Rio Vermelho;(-0.001, 300000.0]
1579;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Barra;(300000.0, 450000.0]
1580;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
1581;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Imbuí;(-0.001, 300000.0]
1582;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Barra;(-0.001, 300000.0]
1583;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Paralela;(-0.001, 300000.0]
1584;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Barbalho;(-0.001, 300000.0]
1585;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Pituba;(-0.001, 300000.0]
1586;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Pituba;(650000.0, 1140000.0]
1587;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Imbuí;(-0.001, 300000.0]
1588;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Paralela;(-0.001, 300000.0]
1589;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
1590;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Federação;(-0.001, 300000.0]
1591;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1592;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
1593;2 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Imbuí;(-0.001, 300000.0]
1594;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1595;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
1596;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Paralela;(-0.001, 300000.0]
1597;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1598;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
1599;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
1600;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
1601;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Patamares;(450000.0, 650000.0]
1602;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
